product_id,category,sales,rating,review_count,views,added_to_cart,wishlist_adds_product
prod_1,Grains,367,3.6,383,1634,252,309
prod_2,Others,1686,4.6,279,6176,145,169
prod_3,Vegetables,1239,3.5,233,5650,168,187
prod_4,Spices,618,4.6,340,6911,322,134
prod_5,Dairy,1538,3.7,271,7792,108,366
prod_6,Snacks,1576,4.5,221,3974,340,393
prod_7,Snacks,1277,4.9,52,634,500,397
prod_8,Dairy,1557,4.2,266,7651,309,301
prod_9,Beverages,897,3.8,127,5198,394,250
prod_10,Others,687,3.7,190,5893,211,379
prod_11,Others,1798,4.4,75,5992,191,151
prod_12,Beverages,1117,4,270,1983,312,157
prod_13,Snacks,131,4.7,290,2190,487,348
prod_14,Fruits,264,4.9,318,7960,396,341
prod_15,Meat,1512,4.2,365,4917,143,51
prod_16,Fruits,759,4.1,452,6739,166,246
prod_17,Fruits,1599,3.8,210,5059,390,256
prod_18,Fruits,1920,3.7,455,928,306,113
prod_19,Snacks,1615,4.9,114,5156,211,327
prod_20,Others,1175,4.7,58,3037,199,79
prod_21,Snacks,956,3.6,388,6984,456,63
prod_22,Vegetables,509,4,138,7980,117,238
prod_23,Spices,873,4.4,360,6937,327,75
prod_24,Snacks,508,4.8,450,3748,309,358
prod_25,Vegetables,1231,4.1,258,1883,277,116
prod_26,Dairy,988,4.6,286,5573,481,65
prod_27,Snacks,576,3.9,149,5453,383,346
prod_28,Vegetables,529,4,250,4144,148,393
prod_29,Vegetables,196,3.9,225,5331,330,262
prod_30,Others,1941,4.5,310,4541,396,120
prod_31,Snacks,969,3.9,434,2408,360,385
prod_32,Snacks,1634,4.8,185,3091,205,289
prod_33,Meat,796,4.7,119,1328,212,100
prod_34,Beverages,487,4.3,102,2241,448,228
prod_35,Grains,1321,3.6,81,6320,226,369
prod_36,Vegetables,1754,4.3,171,1653,257,145
prod_37,Grains,627,3.5,272,7273,134,204
prod_38,Spices,751,4.7,218,584,140,269
prod_39,Dairy,881,3.9,193,6413,376,266
prod_40,Snacks,1176,4.3,271,6926,251,266
prod_41,Spices,1749,3.9,437,7413,489,305
prod_42,Snacks,210,4.1,256,7961,135,134
prod_43,Others,181,3.9,318,3170,479,89
prod_44,Others,1940,4.6,270,5015,340,397
prod_45,Beverages,1777,4.4,225,768,163,117
prod_46,Fruits,1104,3.6,402,3034,379,149
prod_47,Spices,1514,4.4,480,7613,446,230
prod_48,Snacks,613,3.7,306,2772,207,320
prod_49,Spices,232,4.6,122,5125,471,294
prod_50,Meat,244,4.5,270,5946,130,211
prod_51,Vegetables,893,3.6,432,2442,413,383
prod_52,Vegetables,1918,4.5,444,4137,141,167
prod_53,Spices,992,4.6,209,6356,165,317
prod_54,Spices,244,4.9,236,5141,182,167
prod_55,Vegetables,1685,4.4,133,642,474,208
prod_56,Beverages,1945,5,62,3283,454,198
prod_57,Dairy,1013,3.5,104,577,128,379
prod_58,Spices,1690,4.1,266,1779,163,186
prod_59,Grains,117,4.5,279,4978,469,140
prod_60,Fruits,1142,4.1,353,4262,248,313
prod_61,Beverages,185,3.9,484,6835,153,145
prod_62,Snacks,1039,4.2,295,3543,323,285
prod_63,Spices,1380,4.9,402,4077,330,354
prod_64,Others,1471,3.9,345,3969,102,163
prod_65,Grains,1308,4.4,495,2336,369,116
prod_66,Beverages,1407,4.5,388,1416,135,319
prod_67,Beverages,446,4.9,365,2908,117,179
prod_68,Snacks,569,3.9,476,5797,420,177
prod_69,Others,1313,3.8,75,5995,183,309
prod_70,Others,892,4.3,435,6199,451,395
prod_71,Grains,1874,4.9,483,2528,249,79
prod_72,Others,261,3.8,53,6014,292,380
prod_73,Grains,1559,4.8,422,2223,118,313
prod_74,Vegetables,313,4.6,228,7602,361,209
prod_75,Meat,1421,4.1,438,2020,487,225
prod_76,Vegetables,386,4.9,261,5279,458,375
prod_77,Dairy,548,4.5,145,1558,410,109
prod_78,Dairy,1730,4,91,517,449,216
prod_79,Fruits,1465,4.7,194,2369,137,154
prod_80,Dairy,1162,4.9,226,2146,284,218
prod_81,Fruits,1125,3.9,296,5656,493,152
prod_82,Grains,662,4.5,265,6202,431,175
prod_83,Meat,564,4.7,377,6336,298,337
prod_84,Grains,1923,5,483,5856,458,87
prod_85,Beverages,1701,3.6,359,550,157,220
prod_86,Grains,1357,3.7,220,3167,304,347
prod_87,Grains,1115,4.7,161,533,310,96
prod_88,Snacks,560,4.4,360,749,398,64
prod_89,Meat,1789,4.3,392,6492,316,253
prod_90,Snacks,304,4.9,437,3403,234,296
prod_91,Others,1611,4.9,136,613,169,74
prod_92,Dairy,544,3.9,100,6159,133,300
prod_93,Vegetables,1685,4.4,249,5842,329,324
prod_94,Spices,1372,4.7,495,2345,424,134
prod_95,Meat,1785,5,236,4156,408,236
prod_96,Meat,1144,5,71,1554,295,68
prod_97,Others,946,3.9,162,7338,227,277
prod_98,Spices,515,4.4,413,4376,458,73
prod_99,Spices,618,4.8,320,616,188,58
prod_100,Spices,470,4.3,71,3126,496,219
prod_101,Dairy,614,3.9,147,7766,343,243
prod_102,Grains,500,4.9,423,4116,153,309
prod_103,Snacks,1909,4.3,102,3856,351,123
prod_104,Vegetables,741,4,104,6710,118,188
prod_105,Spices,1864,4.3,460,7343,198,109
prod_106,Spices,1987,4.2,348,4841,451,338
prod_107,Beverages,1241,4.3,330,7018,166,289
prod_108,Snacks,1724,4.3,374,2562,469,105
prod_109,Grains,1714,4.2,250,7620,419,191
prod_110,Grains,1900,4.1,176,7719,126,126
prod_111,Vegetables,1308,4.6,118,7969,153,370
prod_112,Snacks,514,3.7,286,5364,165,175
prod_113,Grains,982,4.8,290,1776,346,78
prod_114,Spices,762,3.5,309,6702,110,104
prod_115,Dairy,106,4,387,2730,494,315
prod_116,Fruits,487,4.8,354,919,435,241
prod_117,Beverages,101,3.9,306,2418,261,249
prod_118,Fruits,1352,3.8,279,1184,192,301
prod_119,Vegetables,1095,3.9,281,3886,139,341
prod_120,Others,1801,3.7,452,7298,200,264
prod_121,Fruits,1785,4.4,150,2277,116,200
prod_122,Dairy,1181,3.8,448,5087,431,55
prod_123,Dairy,997,4.1,261,5028,125,136
prod_124,Vegetables,601,4.6,233,2331,396,314
prod_125,Snacks,150,4.1,414,2420,132,160
prod_126,Meat,1655,3.7,56,3882,130,258
prod_127,Dairy,1541,3.6,466,3492,471,350
prod_128,Fruits,1840,3.9,443,1795,322,348
prod_129,Meat,862,3.6,380,7468,345,251
prod_130,Snacks,1627,4.6,419,4255,164,60
prod_131,Vegetables,1655,4.7,383,984,480,101
prod_132,Snacks,778,3.8,84,5627,454,224
prod_133,Spices,1972,3.6,435,1060,319,292
prod_134,Dairy,729,3.7,215,7948,447,204
prod_135,Others,1772,3.7,354,5789,140,110
prod_136,Others,972,4.6,195,6866,227,133
prod_137,Grains,1824,5,381,4999,360,338
prod_138,Beverages,1592,3.8,399,7363,189,370
prod_139,Fruits,893,4.1,433,2072,475,98
prod_140,Meat,240,4.6,256,2436,330,235
prod_141,Others,232,3.7,239,7824,341,302
prod_142,Others,383,4.9,336,5718,179,348
prod_143,Spices,175,4.7,382,7548,338,357
prod_144,Meat,595,4,163,4254,403,328
prod_145,Snacks,255,4,164,2063,443,321
prod_146,Fruits,1620,4.6,231,3466,138,184
prod_147,Beverages,1550,4.1,201,5274,346,68
prod_148,Dairy,1151,3.5,425,6548,263,281
prod_149,Meat,1280,4.8,500,7270,274,168
prod_150,Spices,1107,4.9,409,6943,336,129
prod_151,Grains,1093,3.7,166,1084,129,331
prod_152,Meat,1248,4.3,463,7159,339,71
prod_153,Meat,1009,4.6,214,1567,191,375
prod_154,Vegetables,1682,4.9,130,7076,467,350
prod_155,Meat,744,3.6,90,4350,189,172
prod_156,Grains,1464,3.7,147,7274,179,278
prod_157,Fruits,643,4.3,311,2395,317,149
prod_158,Grains,1144,3.5,97,4774,150,121
prod_159,Meat,1616,4.8,247,5972,115,398
prod_160,Vegetables,308,3.6,434,4991,404,222
prod_161,Beverages,1216,3.5,95,1652,150,219
prod_162,Others,989,3.8,195,3819,210,124
prod_163,Vegetables,1100,3.7,293,7474,123,316
prod_164,Snacks,593,4.3,445,988,414,287
prod_165,Meat,1596,4.8,123,5306,214,163
prod_166,Beverages,226,4.4,412,5086,350,310
prod_167,Dairy,1140,4.9,268,5704,429,284
prod_168,Grains,204,4.7,423,1776,267,243
prod_169,Spices,372,4.9,305,5164,372,102
prod_170,Spices,117,3.9,247,4238,358,272
prod_171,Beverages,1690,4.2,157,1269,257,397
prod_172,Beverages,1085,4.4,59,5126,403,384
prod_173,Spices,1808,3.6,175,5755,204,155
prod_174,Others,1260,3.7,149,981,282,51
prod_175,Dairy,1351,4.5,449,7865,379,274
prod_176,Vegetables,1660,4,467,606,447,313
